channel,date,text,thread,timestamp,url,username
admin-announcements,2016-08-25,clojure.java.jdbc 0.6.2-alpha3 is available ,3,20:08:12,https://clojurians-log.clojureverse.org/admin-announcements/2016-08-25,seancorfield
aatree,2016-01-19,Added some issues: ,1,11:01:15,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,I've added aalog.cljc to aautil and the aalog-test.cljs works. But I've a long way to go on testing the js. ,2,15:01:49,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,": I'll see what I can do, sure. I'm on a borrowed Windows 10 laptop so I need to set up a bunch of stuff today.",3,15:01:00,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,I can work on the boot file or get help from the terrific boot folks,4,15:01:39,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,not a priority!,5,15:01:40,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,sure it is,6,15:01:55,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,"well, ok. ",7,15:01:04,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,I do what I want!!!!!!!!!,8,15:01:22,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,,9,15:01:45,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,Fell free as well to add some other useful snippets to aautil.,10,15:01:48,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,you and me both!,11,15:01:01,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,"But after working on this stuff for more than 10 years, alone, what I want is to work more with others like yourself.",12,15:01:51,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,,13,15:01:25,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,OMG!,14,15:01:16,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,,15,15:01:31,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,welcome to my world - its a bit twisted,16,16:01:04,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,"I am also thinking in the boot that a lot of the dependencies need to be scoped to testing. I mean, it is a library that might be used on the server and many of those dependencies would really be inappropriate.",17,16:01:08,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,I've used the python twisted library!,18,16:01:37,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,so have I - years ago - small world,19,16:01:06,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,are you using ,20,16:01:27,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,I was surprised that I couldn't find a logger.cljc file in some utility project somewhere already. Methinks it really is the early days.,21,16:01:23,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,what is dirac???,22,16:01:30,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,"Oh, I just added a new task--test-it",23,16:01:43,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,boot task,24,16:01:49,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,,25,16:01:39,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,video compression?,26,16:01:42,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,oh,27,16:01:46,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,to help with testing in Chrome,28,16:01:10,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,cool,29,16:01:28,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,gotta run. behind schedule,30,16:01:37,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,ttyl,31,16:01:42,https://clojurians-log.clojureverse.org/aatree/2016-01-19,meow
aatree,2016-01-19,super!,32,16:01:18,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
aatree,2016-01-19,"dental at 2pm, so I'll be out much of my day. (is 11:30 local time here.)",33,16:01:55,https://clojurians-log.clojureverse.org/aatree/2016-01-19,laforge49
100-days-of-code,2018-10-01,"Although I have been coding every day, I am behind with my journal. Had a busy few days with ClojureBridge London event and hope to catch up today.",1,12:10:10,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-01,jr0cket
100-days-of-code,2018-10-02,"Starting to catch up on my log, still have a couple of days to go.  Today I was organising ClojureX conference, mentoring new speakers and updating the HackTheTower site to the revamped HackTogetherLDN.",1,23:10:18,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-02,jr0cket
100-days-of-code,2018-10-04,R1D17-19 (got quite lazy this week reporting): 4clj continued,1,00:10:22,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,klaus.azesberger
100-days-of-code,2018-10-04,i think i should sew in some practical coding before actually finishing 4clj-exercises to excite myself again.,2,00:10:56,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,klaus.azesberger
100-days-of-code,2018-10-04,"Finally got caught up...
...on my dishes, that is.
Day I-forgot-what-we're-up-to: re-frame todomvc, jr0cket's spacemacs guide, and a call for resources on CSS and general UI design stuff
",3,01:10:38,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,porkostomus
100-days-of-code,2018-10-04,"Closing off this log, and continuing in org-mode, exported to markdown from my new spacemacs config, a cyberpunk nyan-cat theme! ",4,10:10:01,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,porkostomus
100-days-of-code,2018-10-04," thanks for the mention of my Spacemacs guide.  I just added another page to the Spacemacs basics on some Vim Normal keybindngs. I'm always adding things so let me know if you think something could be added.
",5,20:10:08,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,jr0cket
100-days-of-code,2018-10-04,"Day 20 already and I have lots more coding in me.  Still a little behind on the log, so just need to practice adding to that as I work during the day.
",6,21:10:59,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-04,jr0cket
100-days-of-code,2018-10-05,R1D20: picked up completing skipped exercises and solved 86. had (again) a bit troubles to deal with extracting the solution from the lazy seq. but i feel like I'm getting better as long as I keep doing this coding hour without exception. It's still very new to me and i fear instantaneous amnesia once i get lazy. ,1,00:10:58,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-05,klaus.azesberger
100-days-of-code,2018-10-05,Today was inspired by ,2,17:10:45,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-05,jr0cket
100-days-of-code,2018-10-05,Oh cool let me try that,3,18:10:25,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-05,porkostomus
100-days-of-code,2018-10-05,(just finished yesterday's ramblings on my task meta-management),4,18:10:48,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-05,porkostomus
100-days-of-code,2018-10-05,,5,18:10:37,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-05,porkostomus
100-days-of-code,2018-10-07,R1D21/22: still here! ,1,00:10:36,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,klaus.azesberger
100-days-of-code,2018-10-07,Is there a channel dedicated to #learning in general?  I don't want to clutter this channel from the folks making the 100 days commitment.,2,01:10:59,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,rmprescott
100-days-of-code,2018-10-07,"Day 21: Learning Spacemacs, made a cheat sheet of just the commands I personally use
",3,02:10:42,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,porkostomus
100-days-of-code,2018-10-07,"Day 22: investigating visualstudio code extensions for clojure to understand which ones are maintained (as there are several).  It seems Calva is the extension to use, although you need to start the REPL from outside the editor.

I was contacted by a Java developer who is interested in Clojure but didnt know how to start thinking in Clojure.  I wrote a fairly simple function to compare it with defining Java class.   I also showed them some basics of how to model data in Clojure and how to traverse that data model.
",4,17:10:22,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,jr0cket
100-days-of-code,2018-10-07,"Day 23: Its Spacemacs Sunday today, at least for me anyway.  Learnt how to use org-mode a little better and many other little improvements in my workflow.  Using org-mode to write my journal log helps a lot and I think I have translated all the things I used to do into the Spacemacs / Vim approach now.  Everything I am learning is going into the book I am writing on Spacemacs.

Also had a discussion with one of the developers I coach about how to do environment configuration in Clojure.  Aero is a really nice library if you have a lot of configurations to define and environ is great when you want to pull from Operating System environment variables.
",5,17:10:38,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,jr0cket
100-days-of-code,2018-10-07,"I have a habit of doing a huge amount of my coding long into the night. While I'm usually pretty good at figuring out what the hell I was doing the next morning, today it felt like I woke up tangled in a spiderweb.

So I've been spending all morning doing debugging sanity-checks. I'm refactoring my 4clojure terminal runner to use a more reasonable form of data persistence. And it is loads of tedious fun!
",6,21:10:45,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,porkostomus
100-days-of-code,2018-10-07,"Also celebrating Spacemacs Sunday!
Though I'm having performance issues running CIDER on this low-end laptop. Not sure if I'm doing something wrong, but the REPL in emacs is running like utter garbage... I got fed up and had to go back to my console REPL and Bob, my tiny toy editor and/or Leafpad.
That's right - I write my Clojure in Leafpad! And I'm proud of it.

However... now I'm addicted to Spacemacs, if only just for org-mode!",7,23:10:12,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-07,porkostomus
100-days-of-code,2018-10-08, a recent update to the Clojure layer removes the sayid debugger by default (and there is a pull request to remove clj-refactor too).  Not running sayid may lead to less resources being used as previously it was injected as a dependency when you start the REPL from Spacemacs.  Adding sayid back in if you do need a debugger is just a variable on the Clojure layer ,1,10:10:44,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-08,jr0cket
100-days-of-code,2018-10-08,had another coding session with timothy pratley. these sessions have become a great motivation boost to me (in addition to being super helpful to learn/discover new things).,2,12:10:29,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-08,klaus.azesberger
100-days-of-code,2018-10-08,R1D23: 4clj89,3,12:10:32,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-08,klaus.azesberger
100-days-of-code,2018-10-08,the problem statement was a bit confusing for me. i was not sure whether duplicate edges were to be treated as one or whether i need to visit each edge (even the duplicated ones) exactly once. (the latter was the case).,4,12:10:35,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-08,klaus.azesberger
100-days-of-code,2018-10-09,Day 24: Basically rewrote the whole program taking a (hopefully) better approach driven by writing unit tests.  I'm very pleased because it's the first time that design pattern has really clicked for me. I managed to climb out of a thick mental fog by just talking it through in the journal and writing tests. ,1,00:10:58,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-09,porkostomus
100-days-of-code,2018-10-09,"OK: I guess I'm going to have to actually start a public journal.  ;D
I did 4Clojure P125 - a quine in Clojure.

Took the classic ""C"" like approach -- ugly, Then realized I could clean it up bit with a few less quotes.  Ho hum...

Then I saw amalloy's solution.  Wow!
I think I have to go back and re-read that section in GEB.
All I can say is....wow!",2,03:10:29,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-09,rmprescott
100-days-of-code,2018-10-09,"OK: I guess I'm going to have to actually start a public journal.  ;D
I did 4Clojure P125 - a quine in Clojure.

Took the classic ""C"" like approach -- ugly, Then realized I could clean it up bit with a few less quotes.  Ho hum...

Then I saw amalloy's solution.  Wow!
I think I have to go back and re-read that section in GEB.
All I can say is....wow!",3,03:10:29,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-09,rmprescott
100-days-of-code,2018-10-09,"Day 25 - quarter of the way through the challenge and I am loving every minute.  Today I started to get back into the swing of creating screencasts for the Spacemacs book as well as working on the Magic section.  Magit is such a wonderful Git client, so fast and full of easy to use features.  I still have lots to add on Magit though.
",4,23:10:49,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-09,jr0cket
100-days-of-code,2018-10-09,"Earlier today, I just happened to type ""magit spacemacs"" into Google and saw your video there in the results, just a few hours after you posted it",5,23:10:19,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-09,porkostomus
100-days-of-code,2018-10-10,It's quite nice to Google for how to do something and see your own content listed. It's the little things in life sometime ,1,10:10:02,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-10,jr0cket
100-days-of-code,2018-10-10,"Day 26 - more hacking on my Spacemacs book and rewriting development tool install guides for ClojureBridge London
",2,22:10:23,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-10,jr0cket
100-days-of-code,2018-10-13,"Got Babel working, with Incanter Charts: ",1,02:10:23,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-13,porkostomus
100-days-of-code,2018-10-13,state of R1D29: since my last report i made it to 4clj-102,2,21:10:29,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-13,klaus.azesberger
100-days-of-code,2018-10-15,"Having a great time watching all the new Strange Loop videos. And they just keep coming out!
Right now I'm watching ""Tree-sitter - a new parsing system for programming tools"" by Max Brunsfeld,
and it gave me some ideas to try on Bob, the Text Editor:
",1,00:10:47,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-15,porkostomus
100-days-of-code,2018-10-15,"My log has splintered off once again:
",2,00:10:58,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-15,porkostomus
100-days-of-code,2018-10-15,"Day 31: I'm wanting to get a better sense of the time complexity of algorithms in Clojure.
So far I've made a basic chart, and my plan is to implement them and do my own little performance tests and chart them with Incanter.
So far I seem to have produced a tiny amount of meaningful data, but honestly I have no idea what I'm doing and am probably doing it completely wrong.
If anyone has done this kind of thing before and could point me to any resources, I'd be most grateful.
",3,19:10:12,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-15,porkostomus
100-days-of-code,2018-10-16,"Day 26-31 although I have not been updating here on slack, I have been busy away updating the ClojureBridge workshop development environment installation guides.  Its now (hopefully) easier to follow the operating system specific guides (now tab sections on a single page) for Java, Leiningen and the students editor of choice (Atom with ProtoREPL or Proton, VSCode and Calva, Spacemacs and IntelliJ).  I still have some work on the editors to do, especially Spacemacs and IntelliJ.  I will also add user guides that have just the essentials for the students, so they dont spend more time learning the tools than learning Clojure on the day.

I've also been looking at the way Spacemacs works with the REPL and especially the REPL history buffer.  Currently it doesnt fit with the Evil approach and requires switching more than neccessary between Vim normal and insert states.
",1,12:10:59,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-16,jr0cket
100-days-of-code,2018-10-17,"Still finishing up yesterday's task of tediously looking up every Clojure function, macro, etc. in order to implement syntax highlighting in my text editor.
There probably would have been a way to avoid this, but I really don't mind...
In fact, I can think of many far less useful things I could be doing.
",1,18:10:42,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-17,porkostomus
100-days-of-code,2018-10-17,"Day 32 & 33 and my journal is all caught up.  Yesterday I was hacking on some examples for my Clojure through code repository, adding and refactoring examples that will go into the Practicalli Clojure book (which I'm going to start working on along side the Spacemacs book).  Today I added a simplified guide to installing Emacs and Spacemacs for Linux, MacOSX and Windows (64bit).
",2,22:10:31,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-17,jr0cket
100-days-of-code,2018-10-17,R1D30->33: 4clj103->107 and I started actual work on this: ,3,23:10:00,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-17,klaus.azesberger
100-days-of-code,2018-10-17,short term goal is the very oppinionated solution for myself / my current job. but it should not be that hard to translate some kind of meta-data (even yaml) into useful specs which would make this way more accessible for the common ansible user,4,23:10:24,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-17,klaus.azesberger
100-days-of-code,2018-10-17,(...and maybe this project lures some devops guys to the bright side of clojure),5,23:10:43,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-17,klaus.azesberger
100-days-of-code,2018-10-18,"ha! just had a look what's the state of the proposal in the ansible core code, and they seem to have matured their ideas and already implemented a first version. i am very likely to weave this into my project as their approach will also allow to validate a role ""ad-hoc"".",1,08:10:26,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-18,klaus.azesberger
100-days-of-code,2018-10-18,for those who're curious: ,2,08:10:02,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-18,klaus.azesberger
100-days-of-code,2018-10-18,"I can't believe this actually works, but I added REPL support to my Clojure editor via Planck.
I recorded a quick demo: ",3,09:10:10,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-18,porkostomus
100-days-of-code,2018-10-18,"I created a key binding, Ctrl+e for ""eval last expression"". But it doesn't work like you'd think...
It actually just saves the whole buffer to a file that is evaluated with Planck.
I implemented a file-watcher in Bash that reloads it whenever it changes.",4,09:10:19,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-18,porkostomus
100-days-of-code,2018-10-18,"Day 34 - Over a third of the way there.  Added more content to the Spacemacs book, including video content for Helm
Transient State and trying out Pull Requests from Magit.

Its Ubuntu 18.10 release day, so I have been celebrating with the Emacs Ubuntu theme.  Its quite nice, perhaps could tweak a few colours though.  I do like the styling in the helm popups though.
",5,15:10:35,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-18,jr0cket
100-days-of-code,2018-10-19,"Day 35: Learning how to use pREPL so I can add it to my editor.
Not really any resources on it other than reading the code itself, which makes it extra fun!
",1,20:10:55,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-19,porkostomus
100-days-of-code,2018-10-19,"sorry, you already had it",2,20:10:23,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-19,jr0cket
100-days-of-code,2018-10-19,"yeah, that's also how I found out about it in the first place",3,20:10:22,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-19,porkostomus
100-days-of-code,2018-10-19,thinking of trying reptile out at one of the coding dojos I go to.,4,20:10:22,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-19,jr0cket
100-days-of-code,2018-10-19,It's great watching them test it live on the show,5,20:10:45,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-19,porkostomus
100-days-of-code,2018-10-21,"So now my log is a GitHub Page for the repo:
",1,04:10:11,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-21,porkostomus
100-days-of-code,2018-10-21,"Occasionally I'd question my obsession with KLIPSE as if it's merely scratching some kind of nerd-itch.
But the truth is they come in extremely handy to serve as live templates for problems, even whole projects.",2,04:10:20,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-21,porkostomus
100-days-of-code,2018-10-21,"This sudden change in workflow has inspired a whole new project:
I want to make a Clojure coding notebook webapp.
Perhaps I'll learn re-plumb and do something more intricate, along the lines of maria.cloud.
Or I could use Zach Oakes' tool Paren Soup since it's more about Clojure.
Wait... didn't Timothy Pratley have a thing like that?
He made a whole interactive learning environment and did a talk on it, gotta find that again.
The idea is to unify the whole user experience of content creation,
so that I'm no longer working on the source code but from within the app itself.",3,04:10:35,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-21,porkostomus
100-days-of-code,2018-10-21,Well I discovered Github is currently a little broken ,4,23:10:07,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-21,jr0cket
100-days-of-code,2018-10-21,"As a short summary, I did some more work on my Spacemacs book, the ClojureBridge workshop (spacemacs simple user guide) and had fun breaking and fixing my builds for the status-monitor.  An upshot of breaking the builds was that I discovered more about how ",5,23:10:39,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-21,jr0cket
100-days-of-code,2018-10-22,"Github is mostly working again, at least you can see my commits in the webUI now.  So here is the log up to day 37 ",1,10:10:25,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-22,jr0cket
100-days-of-code,2018-10-22,"It turns out maria.cloud does exactly what I want. You create ""code blocks"" and ""prose blocks"", and the UI is incredibly intuitive. And it looks ",2,19:10:40,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-22,porkostomus
100-days-of-code,2018-10-22,"Day 38 involved a bunch of event organising, especially for the workshops before ClojureX conference.  Looks like we have a spec workshop for a few hours in the afternoon and I am planning to run a Clojure CLI, figwheel.main workshop, building a ClojureScript app.

I also worked on the Status monitor app and added the idea of data centre locations that would have their own dashboards
",3,23:10:53,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-22,jr0cket
100-days-of-code,2018-10-23,Day 39: Got my reagent minesweeper working: ,1,12:10:10,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-23,porkostomus
100-days-of-code,2018-10-23,"Day 39:  A quick hack with Bootstrap and status monitor application, adding Bootstrap to a form that selects which data centre dashboard you wish to view.
",2,20:10:41,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-23,jr0cket
100-days-of-code,2018-10-25,"meh, need to confess, that i had a break from 100-days-of-code since last saturday... ",1,09:10:44,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-25,klaus.azesberger
100-days-of-code,2018-10-25,"so tonight, tonight (bernstein in my ears), I'm going to code again. maybe with my freshly installed spacemacs xD having still some troubles getting automatic parens balancing to work, i think i've missed something out, smart parens minor mode seems to be active but when i kill rest of line for example it just kills the rest of line w/o balancing parens like in this video (which isnt spacemacs but i'd like to have this kind of balancing...) ",2,09:10:56,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-25,klaus.azesberger
100-days-of-code,2018-10-25, I think you need to set strict mode on for smartparents  ,3,12:10:14,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-25,jr0cket
100-days-of-code,2018-10-25,"Day 40 I started coaching a new student in Clojure, they have never done any coding before but took to Clojure really well.   I gave a little overview to Clojure and then we worked through some of the ClojureBridge London workshop.  We found a few examples were not worded very well, so I updated them and pushed the changes.

I also discovered hot to sett the size of images in org-mode using ",4,23:10:18,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-25,jr0cket
100-days-of-code,2018-10-25,"Day 41 suffered from quite a few Internet outages, so I created some Spacemacs screencasts as well as did updates to the book, including a Sayid debugger overview, vim reference guide updates and reorganising some of the vim tips I had.
",5,23:10:00,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-25,jr0cket
100-days-of-code,2018-10-26,"I now have a working game, that is, you are able to win or lose. ",1,01:10:55,https://clojurians-log.clojureverse.org/100-days-of-code/2018-10-26,porkostomus
